guess,question,seen,user_id,time_created
8,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:12
7,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,f1384754171255ab8e7ed81986701d7f,2020-04-30 20:36:58
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,e48c8107a61c43b483b7e3a85852f981,2020-05-01 00:28:57
6,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:38:58
6,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,af39ea99a1999f862aee0dd903ae548a,2020-05-01 00:43:17
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,b46cd861600b732e4793d4a590191d39,2020-05-01 03:37:11
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",9,b46cd861600b732e4793d4a590191d39,2020-05-01 03:39:57
1,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,34dc025451ba487dcb15eeba51a5a1ef,2020-05-01 05:27:32
6,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:32:32
3,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",9,78eeab7777077c50b786465c5f7cbae4,2020-05-01 05:35:19
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,1c902fb0a1bee958bef17680eb824392,2020-05-01 11:44:23
1,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:24:22
1,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",9,108d23e0fc4424a24de06f6ddb27439b,2020-05-01 14:27:10
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,68bfcf3ed3244d7097642458d0846840,2020-05-01 16:14:07
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",9,68bfcf3ed3244d7097642458d0846840,2020-05-01 16:15:54
5,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,a30bb7e0630ee7de46be76cf51070a21,2020-05-01 17:15:20
7,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,48d79a17a3aa4a676eae6c811c5abe88,2020-05-01 18:39:57
7,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,48d79a17a3aa4a676eae6c811c5abe88,2020-05-01 18:43:32
5,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,ebd256d1006937f4539ba2de682f24df,2020-05-01 20:44:04
10,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,8c37521dcab23de7fbfb5d9cc9dbf316,2020-05-01 20:51:43
8,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",9,8c37521dcab23de7fbfb5d9cc9dbf316,2020-05-01 20:53:48
7,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,dde59000e263bb60e5d60dd17a3f9147,2020-05-01 22:23:46
8,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,5cbf77eb75d3b0c40bcf16e8c0a2968b,2020-05-02 01:01:33
5,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,b79375710d186f07a24602d3d36e9a27,2020-05-02 01:51:44
3,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,ca5378e17f18cbd0fff1d7bcd25c7ff8,2020-05-02 09:13:08
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,2f23e525c6f7ddd1219a02a49478f648,2020-05-02 12:06:19
1,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,1e601dd71ca4ce858790beb7dc57ba59,2020-05-02 12:18:25
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,bff5b1e2495277261362938ae1f655ab,2020-05-02 13:35:14
8,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,330979fdeae844785497ee9956ed450c,2020-05-02 14:26:18
8,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,330979fdeae844785497ee9956ed450c,2020-05-02 14:33:55
6,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,d22929f0a093ee6cd76732d47a569f12,2020-05-02 16:03:47
6,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,d22929f0a093ee6cd76732d47a569f12,2020-05-02 16:08:19
6,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,63428fa08ae1dfd68f8fdc1ea3102c9e,2020-05-02 20:48:33
7,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,63428fa08ae1dfd68f8fdc1ea3102c9e,2020-05-02 20:53:59
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,2672e3439a562a531e9f95543dc723aa,2020-05-02 21:43:10
1,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,8b4124ba97e0faddc4a1e2f338eace0d,2020-05-02 23:17:56
2,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,d8bbb8c55d994e35fc5dda745907b1f3,2020-05-02 23:28:59
2,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",9,d8bbb8c55d994e35fc5dda745907b1f3,2020-05-02 23:30:04
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,8aba7257f56ef9013247fb62487b79ec,2020-05-03 00:25:25
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",9,8aba7257f56ef9013247fb62487b79ec,2020-05-03 00:37:21
5,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,5620842d147e4ed73d8fc51b31fe5aef,2020-05-03 00:38:09
7,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,f874d7526283f8ca6965b71034121dc6,2020-05-03 00:40:38
7,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",9,f874d7526283f8ca6965b71034121dc6,2020-05-03 00:44:21
8,"How happy do you feel? On a scale from 1-10 where 1 means not at all happy and 10 means very happy, how happy are you?",4,75b9774fdcc22bc00fd2436bf870c239,2020-05-03 00:48:07
2,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,58694476185c7fc7586251a390c12cc9,2020-05-03 01:20:23
1,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",9,58694476185c7fc7586251a390c12cc9,2020-05-03 01:23:16
1,"How angry do you feel? On a scale from 1-10 where 1 means not at all angry and 10 means very angry, how angry are you?",4,d469bfcba1b302a90857573935e878b4,2020-05-03 01:59:42
10,"How anxious do you feel? On a scale from 1-10 where 1 means not at all anxious and 10 means very anxious, how axious are you?",4,75331139415c9f850c57a09e349edbcb,2020-05-03 02:58:02
