user_id,treatment_one,treatment_two,treatment_three,treatment_four,ip,time_created
f1384754171255ab8e7ed81986701d7f,control_happy,3,0,0,75.174.22.143,2020-04-30 20:35:11
d80265c5f7be26b471cc6a26ebe790d3,control_anger,4,1,1,86.125.139.194,2020-04-30 21:08:21
6787755cca3377a3bf1f26face11105b,anxiety,3,0,0,198.255.229.64,2020-04-30 21:14:18
69df72f6d92ce7526cfab8e88746b8c4,anger,4,1,1,73.126.171.154,2020-04-30 22:11:43
35fdf8610a1231cfc59063ed9f7ea55f,control_anxiety,4,1,1,90.240.126.50,2020-04-30 22:41:10
6b62faab2d528b025ab2fe2c5665ab5b,control_anger,4,0,1,212.79.110.143,2020-04-30 23:59:18
7d69f8de20ca3f38bb458231b1c65414,control_anxiety,4,0,1,92.30.116.10,2020-05-01 00:09:56
0cdcf7efbec63085673b803baf89ef30,control_happy,3,0,0,202.53.8.129,2020-05-01 00:22:31
e48c8107a61c43b483b7e3a85852f981,anger,3,1,0,142.113.228.176,2020-05-01 00:22:56
af39ea99a1999f862aee0dd903ae548a,control_happy,4,0,1,95.90.245.57,2020-05-01 00:34:09
4e1257d4b73f7d8dac6de1524dea62bd,anger,3,0,0,14.200.212.235,2020-05-01 02:14:16
b46cd861600b732e4793d4a590191d39,anger,3,0,1,142.54.26.26,2020-05-01 03:35:00
2519be04ebf1c2290e45ec18f7068d8b,control_anger,4,0,0,131.196.77.182,2020-05-01 04:53:26
34dc025451ba487dcb15eeba51a5a1ef,anxiety,3,0,0,47.132.71.250,2020-05-01 05:25:02
78eeab7777077c50b786465c5f7cbae4,control_anger,4,0,1,174.87.40.127,2020-05-01 05:31:04
5fc24b4e5ab9e5ee781e8bc7bbe74ee0,anger,4,0,0,103.95.62.93,2020-05-01 08:18:55
fc1e537aacfcf85fd7393ea1aa355f5b,anger,4,0,0,212.68.218.44,2020-05-01 10:12:12
a396297affd5234a06401c103114db80,happy,3,0,1,99.237.36.12,2020-05-01 10:50:54
